epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3719.02,1.6743,1.32422,0.01434,0.74178,0.6682,0.72754,0.40504,1.70934,1.19211,0.01579,0.0007724,0.0007724,0.0007724
64,3776.63,1.65665,1.30564,0.01429,0.76677,0.65362,0.72819,0.40799,1.70243,1.17488,0.01571,0.0007526,0.0007526,0.0007526
65,3833.92,1.65977,1.30654,0.01433,0.76211,0.65861,0.73284,0.41149,1.6963,1.18897,0.01554,0.0007328,0.0007328,0.0007328
66,3891.19,1.64684,1.30014,0.01405,0.76738,0.67001,0.73866,0.41544,1.69078,1.1642,0.01545,0.000713,0.000713,0.000713
67,3948.42,1.646,1.30644,0.01419,0.75546,0.66494,0.72813,0.40739,1.70362,1.18185,0.01569,0.0006932,0.0006932,0.0006932
68,4006.1,1.64828,1.29173,0.01412,0.77794,0.66249,0.74025,0.41676,1.68893,1.15043,0.01545,0.0006734,0.0006734,0.0006734
69,4063.7,1.6434,1.27786,0.0142,0.75751,0.67741,0.74103,0.41808,1.69375,1.14874,0.01546,0.0006536,0.0006536,0.0006536
70,4121.93,1.64723,1.30281,0.01411,0.76933,0.6753,0.74272,0.42233,1.67697,1.14866,0.01526,0.0006338,0.0006338,0.0006338
71,4180.01,1.64051,1.29703,0.01424,0.77139,0.66897,0.74196,0.42232,1.68024,1.16207,0.01529,0.000614,0.000614,0.000614
72,4239.28,1.64062,1.27515,0.01397,0.77402,0.6728,0.74617,0.42202,1.69021,1.14506,0.01528,0.0005942,0.0005942,0.0005942
73,4297.33,1.62196,1.25822,0.01405,0.76212,0.67856,0.74677,0.42487,1.68572,1.1283,0.01522,0.0005744,0.0005744,0.0005744
74,4355.02,1.62667,1.256,0.01391,0.7774,0.67376,0.75154,0.43279,1.66641,1.11595,0.015,0.0005546,0.0005546,0.0005546
75,4412.88,1.62486,1.27417,0.01425,0.78629,0.66801,0.74312,0.42715,1.6809,1.14708,0.01514,0.0005348,0.0005348,0.0005348
76,4471.23,1.61427,1.26828,0.0139,0.77041,0.67338,0.74187,0.42279,1.67755,1.15431,0.0151,0.000515,0.000515,0.000515
